21 41
B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B B
B 0 0 0 0 B 0 0 0 0 B 0 0 0 0 B 0 0 0 P D 0 0 0 B B B 0 P 0 B B 0 P 0 B 0 B 0 0 B
B 0 0 0 0 B 0 0 P 0 D 0 P 0 0 B 0 0 0 0 B 0 P 0 0 B 0 0 P 0 D 0 0 0 0 B 0 P 0 P B
B S 0 P 0 D 0 0 0 0 B 0 0 P 0 B 0 0 0 0 B 0 0 P 0 B 0 0 0 0 B 0 P 0 0 D P 0 0 0 B
B 0 0 0 0 B 0 0 0 0 B 0 0 0 0 D 0 0 P 0 B B 0 0 0 D 0 0 0 0 B 0 B 0 0 B 0 0 B 0 B
B B B B B B B B B B B B B B B B B B B B B B B D B B B B D B B B B D B B B D B B B
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 B 0 0 P 0 B 0 0 P 0 B 0 P 0 0 B 0 0 0 0 B
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 B P 0 0 0 D 0 P 0 P D 0 P P 0 D 0 P P B B
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 B 0 0 0 P B 0 0 P 0 B 0 P 0 P B 0 0 0 0 B
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 B 0 P 0 0 B 0 B 0 0 B 0 0 0 0 B 0 P 0 0 B
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 B B D B B B D B B B B B D B B B B B D B B
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 B 0 0 P 0 B 0 P 0 B B 0 0 P 0 D 0 0 P 0 B
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 B 0 P 0 0 D 0 0 P 0 B P 0 P 0 B 0 B 0 P B
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 B B 0 0 P B B P P 0 D 0 0 0 0 B 0 0 0 0 B
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 B 0 0 P 0 B 0 0 0 0 B 0 P 0 B B 0 P P 0 B
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 B B B D B B B D B B B D B B B B D B B B B
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 B 0 P 0 0 B 0 0 P 0 B 0 0 B 0 B 0 0 0 0 B
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 B 0 0 P 0 B P 0 P 0 B 0 P P 0 B P P 0 P B
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 B B 0 P P D 0 0 0 0 B 0 P 0 P D 0 0 0 P B
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 B B B 0 0 B 0 P P 0 D 0 0 P 0 B 0 P 0 0 Q
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 B B B B B B B B B B B B B B B B B B Q B B
